weight_set,players,slate_hr_rate,top5_hr,top5_hr_rate,top5_lift,top10_hr,top10_hr_rate,top10_lift,top20_hr,top20_hr_rate,top20_lift,top50_hr,top50_hr_rate,top50_lift,top100_hr,top100_hr_rate,top100_lift,date
model_probability_control,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
production_current,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_only,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_80_matchup_15_weather_5,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_75_matchup_15_park_10,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_65_matchup_20_park_10_weather_5,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_60_matchup_25_park_10_weather_5,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
baseline_50_matchup_25_park_15_weather_10,288,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-04
model_probability_control,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
production_current,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_only,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_80_matchup_15_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_75_matchup_15_park_10,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_65_matchup_20_park_10_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_60_matchup_25_park_10_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
baseline_50_matchup_25_park_15_weather_10,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-05
model_probability_control,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
production_current,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_only,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_80_matchup_15_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_75_matchup_15_park_10,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_65_matchup_20_park_10_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_60_matchup_25_park_10_weather_5,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
baseline_50_matchup_25_park_15_weather_10,270,0.0,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,2026-09-06
