model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup
1,Junior Caminero,Tampa Bay Rays,Houston Astros,Miguel Ullola,3,Tropicana Field,107.0,10.0,Elite,7.8,9.6,9.5,9.6,5.8,6.5,8.0,81.5,2.8583065999999997,141.0,9.0,7.8,8.9,10.0,Pitch-type matchup + Pitcher vulnerability,True
2,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Mason Adams,1,Comerica Park,100.0,10.0,Elite,7.4,9.2,9.9,9.2,5.5,6.6,10.0,73.94,6.2758471,96.0,9.3,8.1,6.0,6.0,Lineup context + Pitcher vulnerability,True
3,Yohandy Morales,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,5,Nationals Park,105.0,9.9,Elite,8.1,9.8,8.9,9.8,5.7,6.5,6.0,78.25999999999999,3.7282260000000003,73.0,9.3,10.0,9.6,8.1,Pitch-type matchup + Recent power,True
4,Will Smith,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,2,loanDepot park,135.0,9.9,Elite,9.5,8.1,4.9,8.1,7.1,6.6,9.0,75.38,7.0214923,207.0,8.8,3.1,9.5,2.3,Hitter skill + Lineup context,True
5,Daylen Lile,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,6,Nationals Park,105.0,9.9,Elite,9.6,7.0,8.9,7.0,5.7,6.5,5.0,78.25999999999999,3.7282260000000003,73.0,3.6,9.4,8.1,8.7,Hitter skill + Pitcher vulnerability,True
6,Zach Neto,Los Angeles Angels,Washington Nationals,Cade Cavalli,1,Nationals Park,105.0,9.8,Elite,9.0,8.9,6.9,8.9,5.7,6.5,10.0,78.25999999999999,3.7282260000000003,73.0,6.5,6.4,6.3,8.4,Lineup context + Hitter skill,True
7,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,1,American Family Field,88.0,9.8,Elite,9.7,8.9,5.9,8.9,5.0,6.7,10.0,73.22,9.5069763,146.0,6.3,7.1,6.9,8.1,Lineup context + Hitter skill,True
8,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,3,loanDepot park,135.0,9.8,Elite,10.0,6.6,4.9,6.6,7.1,6.6,8.0,75.38,7.0214923,207.0,6.8,5.6,3.9,5.9,Hitter skill + Lineup context,True
9,Jackson Merrill,San Diego Padres,San Francisco Giants,Anthony Molina,5,Oracle Park,139.0,9.7,Elite,9.2,8.7,6.2,8.7,7.3,6.2,6.0,66.02,15.6585492,280.0,3.6,9.3,9.6,9.6,Hitter skill + Pitch-type matchup,True
10,Yandy Díaz,Tampa Bay Rays,Houston Astros,Miguel Ullola,1,Tropicana Field,107.0,9.7,Elite,7.6,6.1,9.5,6.1,5.8,6.5,10.0,81.5,2.8583065999999997,141.0,6.2,9.3,9.0,7.9,Lineup context + Pitcher vulnerability,True
11,Colt Keith,Detroit Tigers,Colorado Rockies,Mason Adams,3,Comerica Park,100.0,9.7,Elite,8.5,5.5,9.9,5.5,5.5,6.6,8.0,73.94,6.2758471,96.0,3.6,7.2,7.4,5.3,Pitcher vulnerability + Hitter skill,True
12,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Taj Bradley,2,Target Field,113.0,9.6,Elite,9.4,7.7,6.5,7.7,6.1,5.5,9.0,,,,3.6,8.8,10.0,9.7,Hitter skill + Lineup context,True
13,Roman Anthony,Boston Red Sox,Kansas City Royals,Seth Lugo,1,Fenway Park,92.0,9.6,Elite,8.3,9.9,7.2,9.9,5.1,6.6,10.0,71.78,5.2195164,295.0,3.6,7.8,9.9,9.4,Lineup context + Pitch-type matchup,True
14,Dylan Crews,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,2,Nationals Park,105.0,9.6,Elite,6.5,9.1,8.9,9.1,5.7,6.5,9.0,78.25999999999999,3.7282260000000003,73.0,7.2,4.1,8.2,8.5,Pitch-type matchup + Lineup context,True
15,Fernando Tatis,San Diego Padres,San Francisco Giants,Anthony Molina,1,Oracle Park,139.0,9.5,Elite,8.1,7.4,6.2,7.4,7.3,6.2,10.0,66.02,15.6585492,280.0,7.7,9.9,10.0,9.8,Lineup context + Hitter skill,True
16,Colson Montgomery,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,5,Busch Stadium,70.0,9.5,Elite,9.6,7.2,7.9,7.2,4.2,5.5,6.0,,,,9.4,6.9,8.8,8.0,Hitter skill + Recent power,True
17,Julio Rodríguez,Seattle Mariners,Athletics,Jeffrey Springs,5,Sutter Health Park,100.0,9.5,Elite,9.3,6.0,9.2,6.0,5.5,5.5,6.0,,,,3.6,6.6,6.5,7.0,Hitter skill + Pitcher vulnerability,True
18,Oneil Cruz,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,2,Wrigley Field,107.0,9.4,Excellent,8.6,3.6,8.5,3.6,5.8,6.7,9.0,74.3,9.5069763,124.0,3.6,8.3,1.9,2.6,Lineup context + Hitter skill,True
19,Max Muncy,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,4,loanDepot park,135.0,9.4,Excellent,9.2,8.0,4.9,8.0,7.1,6.6,7.0,75.38,7.0214923,207.0,3.6,4.7,5.4,4.7,Hitter skill + Pitch-type matchup,True
20,Heriberto Hernandez,Miami Marlins,Los Angeles Dodgers,TBD,2,loanDepot park,135.0,9.4,Excellent,9.1,5.5,5.5,5.5,7.1,6.6,9.0,75.38,7.0214923,207.0,6.8,8.5,5.9,8.3,Hitter skill + Lineup context,True
21,Joc Pederson,Texas Rangers,Arizona Diamondbacks,TBD,1,Chase Field,213.0,9.3,Excellent,9.0,5.5,5.5,5.5,10.0,5.5,10.0,,,,9.3,5.6,3.1,5.4,Ballpark + Lineup context,True
22,Keibert Ruiz,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,7,Nationals Park,105.0,9.3,Excellent,9.2,4.9,8.9,4.9,5.7,6.5,4.0,78.25999999999999,3.7282260000000003,73.0,3.6,5.9,9.3,7.3,Hitter skill + Pitcher vulnerability,True
23,Luis García,New York Yankees,New York Mets,Nolan McLean,4,Yankee Stadium,117.0,9.3,Excellent,9.9,9.7,2.2,9.7,6.3,6.5,7.0,76.28,4.6602825,325.0,8.6,8.4,7.1,7.4,Hitter skill + Pitch-type matchup,True
24,Jose Siri,Los Angeles Angels,Washington Nationals,Cade Cavalli,3,Nationals Park,105.0,9.2,Excellent,9.3,6.2,6.9,6.2,5.7,6.5,8.0,78.25999999999999,3.7282260000000003,73.0,3.6,9.6,8.5,8.0,Hitter skill + Lineup context,True
25,Nick Gonzales,Pittsburgh Pirates,Chicago Cubs,Shota Imanaga,4,Wrigley Field,107.0,9.2,Excellent,8.4,3.9,8.5,3.9,5.8,6.7,7.0,74.3,9.5069763,124.0,3.6,3.8,2.2,2.9,Pitcher vulnerability + Hitter skill,True
26,Kyle Tucker,Los Angeles Dodgers,Miami Marlins,Ryan Gusto,6,loanDepot park,135.0,9.2,Excellent,9.8,4.9,4.9,4.9,7.1,6.6,5.0,75.38,7.0214923,207.0,8.6,3.0,3.8,5.7,Hitter skill + Recent power,True
27,Matt Olson,Atlanta Braves,Philadelphia Phillies,Aaron Nola,3,Truist Park,100.0,9.1,Excellent,7.6,7.5,8.2,7.5,5.5,6.7,8.0,81.14,9.4448392,176.0,3.6,4.9,6.1,6.3,Pitcher vulnerability + Lineup context,True
28,Andrés Chaparro,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,3,Nationals Park,105.0,9.1,Excellent,5.4,9.9,8.9,9.9,5.7,6.5,8.0,78.25999999999999,3.7282260000000003,73.0,8.8,6.8,9.6,9.5,Pitch-type matchup + Pitcher vulnerability,True
29,Ben Rice,New York Yankees,New York Mets,Nolan McLean,1,Yankee Stadium,117.0,9.1,Excellent,9.6,9.4,2.2,9.4,6.3,6.5,10.0,76.28,4.6602825,325.0,6.8,6.9,4.6,6.5,Lineup context + Hitter skill,True
30,Manny Machado,San Diego Padres,San Francisco Giants,Anthony Molina,3,Oracle Park,139.0,9.0,Excellent,6.6,9.3,6.2,9.3,7.3,6.2,8.0,66.02,15.6585492,280.0,9.5,6.3,6.0,3.0,Recent power + Pitch-type matchup,True
31,Griffin Conine,Miami Marlins,Los Angeles Dodgers,TBD,3,loanDepot park,135.0,9.0,Excellent,8.6,5.5,5.5,5.5,7.1,6.6,8.0,75.38,7.0214923,207.0,7.7,9.8,8.3,6.9,Hitter skill + Lineup context,True
