model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
1,Junior Caminero,Tampa Bay Rays,Houston Astros,Miguel Ullola,3,Tropicana Field,107.0,10.0,Elite,7.8,9.6,9.5,9.6,5.8,6.5,8.0,81.5,2.8583066,141.0,9.0,7.8,8.9,10.0,Pitch-type matchup + Pitcher vulnerability,True,1,0.8552777777777778,0.8552777777777778,1
2,Yohandy Morales,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,5,Nationals Park,105.0,10.0,Elite,8.1,9.8,8.9,9.8,5.7,6.5,6.0,78.25999999999999,3.728226,73.0,9.3,10.0,9.6,8.1,Pitch-type matchup + Recent power,True,3,0.8505555555555556,0.8505555555555556,2
3,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Mason Adams,1,Comerica Park,100.0,9.9,Elite,7.4,9.2,9.9,9.2,5.5,6.6,10.0,73.94,6.2758471,96.0,9.3,8.1,6.0,6.0,Lineup context + Pitcher vulnerability,True,2,0.8188888888888888,0.8188888888888888,3
4,Daylen Lile,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,6,Nationals Park,105.0,9.9,Elite,9.6,7.0,8.9,7.0,5.7,6.5,5.0,78.25999999999999,3.728226,73.0,3.6,9.4,8.1,8.7,Hitter skill + Pitcher vulnerability,True,5,0.795,0.795,4
5,Roman Anthony,Boston Red Sox,Kansas City Royals,Seth Lugo,1,Fenway Park,92.0,9.9,Elite,8.3,9.9,7.2,9.9,5.1,6.6,10.0,71.78,5.2195164,295.0,3.6,7.8,9.9,9.4,Lineup context + Pitch-type matchup,True,13,0.7811111111111111,0.7811111111111111,5
6,Colson Montgomery,Chicago White Sox,St. Louis Cardinals,Matthew Liberatore,5,Busch Stadium,70.0,9.8,Elite,9.6,7.2,7.9,7.2,4.2,5.5,6.0,,,,9.4,6.9,8.8,8.0,Hitter skill + Recent power,True,16,0.7797222222222222,0.7797222222222222,6
7,Andrés Chaparro,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,3,Nationals Park,105.0,9.8,Elite,5.4,9.9,8.9,9.9,5.7,6.5,8.0,78.25999999999999,3.728226,73.0,8.8,6.8,9.6,9.5,Pitch-type matchup + Pitcher vulnerability,True,28,0.7702777777777778,0.7702777777777778,7
8,Yandy Díaz,Tampa Bay Rays,Houston Astros,Miguel Ullola,1,Tropicana Field,107.0,9.8,Elite,7.6,6.1,9.5,6.1,5.8,6.5,10.0,81.5,2.8583066,141.0,6.2,9.3,9.0,7.9,Lineup context + Pitcher vulnerability,True,10,0.7688888888888888,0.7688888888888888,8
9,Cal Raleigh,Seattle Mariners,Athletics,Jeffrey Springs,4,Sutter Health Park,100.0,9.7,Elite,6.1,7.7,9.2,7.7,5.5,5.5,7.0,,,,7.7,10.0,9.7,9.8,Pitcher vulnerability + Pitch-type matchup,True,47,0.7611111111111111,0.7611111111111111,9
10,Zach Neto,Los Angeles Angels,Washington Nationals,Cade Cavalli,1,Nationals Park,105.0,9.7,Elite,9.0,8.9,6.9,8.9,5.7,6.5,10.0,78.25999999999999,3.728226,73.0,6.5,6.4,6.3,8.4,Lineup context + Hitter skill,True,6,0.7558333333333334,0.7558333333333334,10
11,Jackson Merrill,San Diego Padres,San Francisco Giants,Anthony Molina,5,Oracle Park,139.0,9.7,Elite,9.2,8.7,6.2,8.7,7.3,6.2,6.0,66.02,15.6585492,280.0,3.6,9.3,9.6,9.6,Hitter skill + Pitch-type matchup,True,9,0.7527777777777775,0.7527777777777775,11
12,Dylan Crews,Washington Nationals,Los Angeles Angels,Yusei Kikuchi,2,Nationals Park,105.0,9.6,Elite,6.5,9.1,8.9,9.1,5.7,6.5,9.0,78.25999999999999,3.728226,73.0,7.2,4.1,8.2,8.5,Pitch-type matchup + Lineup context,True,14,0.7508333333333334,0.7508333333333334,12
13,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Taj Bradley,2,Target Field,113.0,9.6,Elite,9.4,7.7,6.5,7.7,6.1,5.5,9.0,,,,3.6,8.8,10.0,9.7,Hitter skill + Lineup context,True,12,0.7491666666666668,0.7491666666666668,13
14,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,1,American Family Field,88.0,9.6,Elite,9.7,8.9,5.9,8.9,5.0,6.7,10.0,73.22,9.5069763,146.0,6.3,7.1,6.9,8.1,Lineup context + Hitter skill,True,7,0.7483333333333332,0.7483333333333332,14
15,Colt Keith,Detroit Tigers,Colorado Rockies,Mason Adams,3,Comerica Park,100.0,9.5,Elite,8.5,5.5,9.9,5.5,5.5,6.6,8.0,73.94,6.2758471,96.0,3.6,7.2,7.4,5.3,Pitcher vulnerability + Hitter skill,True,11,0.7391666666666667,0.7391666666666667,15
