model_rank,batter_name
1,Junior Caminero
2,Yohandy Morales
3,Kevin McGonigle
4,Daylen Lile
5,Roman Anthony
6,Colson Montgomery
7,Andrés Chaparro
8,Yandy Díaz
9,Cal Raleigh
10,Zach Neto
11,Jackson Merrill
12,Dylan Crews
13,Chase DeLauter
14,Jackson Chourio
15,Colt Keith
16,Julio Rodríguez
17,Fernando Tatis
18,Keibert Ruiz
19,Coby Mayo
20,Jose Siri
21,Bobby Witt
22,Riley Greene
23,Ryan Vilade
24,Wilyer Abreu
25,Kody Clemens
26,Matt Olson
27,Bryan Reynolds
28,Will Smith
29,Cedric Mullins
30,Luis García
31,Griffin Conine
32,Hunter Goodman
33,Leo Bernal
34,Heriberto Hernandez
35,Ronald Acuña
36,Luis Torrens
37,Manny Machado
38,Henry Bolte
39,Brian Serven
40,Munetaka Murakami
41,Brooks Lee
42,Salvador Perez
43,Mookie Betts
44,CJ Abrams
45,Nolan Gorman
46,Nathaniel Lowe
47,Cole Young
48,Carter Jensen
49,Brett Callahan
50,Denzer Guzman
