target_date,generated_at_utc,history_through,board_mode,weather_source,batter,game_pk,opposing_pitcher_id,model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,606466,825035,677958.0,1,Ketel Marte,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,2,Chase Field,213.0,10.0,Elite,9.8,8.7,9.2,8.7,10.0,4.8,9.0,103.64,5.4059277,240.0,5.8,4.5,7.2,9.1,Ballpark + Hitter skill,True,1,0.8386111111111111,0.8386111111111111,1
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682998,825035,677958.0,2,Corbin Carroll,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,5,Chase Field,213.0,10.0,Elite,9.7,8.0,9.2,8.0,10.0,4.8,6.0,103.64,5.4059277,240.0,3.4,8.2,7.3,9.4,Ballpark + Hitter skill,True,5,0.8233333333333333,0.8233333333333333,2
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,700250,823496,804267.0,3,Ben Rice,New York Yankees,New York Mets,Zac Thornton,1,Yankee Stadium,117.0,9.9,Elite,9.5,9.2,8.6,9.2,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,3.4,7.8,6.1,8.6,Lineup context + Hitter skill,True,3,0.8208333333333333,0.8208333333333333,3
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,671277,823496,804267.0,4,Luis García Jr.,New York Yankees,New York Mets,Zac Thornton,4,Yankee Stadium,117.0,9.9,Elite,7.5,9.9,8.6,9.9,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.6,9.2,8.2,7.2,Pitch-type matchup + Recent power,True,8,0.8166666666666667,0.8166666666666667,4
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,641355,823496,804267.0,5,Cody Bellinger,New York Yankees,New York Mets,Zac Thornton,2,Yankee Stadium,117.0,9.9,Elite,10.0,7.2,8.6,7.2,6.3,6.7,9.0,80.24000000000001,10.1283473,162.0,6.8,6.6,8.2,7.9,Hitter skill + Lineup context,True,2,0.8130555555555555,0.8130555555555555,5
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,646240,823170,650633.0,6,Rafael Devers,San Francisco Giants,San Diego Padres,Michael King,2,Oracle Park,139.0,9.8,Elite,9.9,6.8,7.3,6.8,7.3,6.2,9.0,67.64,18.9518155,287.0,9.7,9.6,7.4,9.8,Hitter skill + Recent power,True,7,0.8016666666666666,0.8016666666666666,6
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,805808,824224,685299.0,7,Kevin McGonigle,Detroit Tigers,Colorado Rockies,Tanner Gordon,1,Comerica Park,100.0,9.8,Elite,9.9,6.5,9.5,6.5,5.5,6.7,10.0,80.6,8.7613311,220.0,9.0,7.1,4.3,4.9,Lineup context + Hitter skill,True,4,0.8013888888888888,0.8013888888888888,7
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,691406,822927,663567.0,8,Junior Caminero,Tampa Bay Rays,Houston Astros,Peter Lambert,3,Tropicana Field,107.0,9.8,Elite,9.5,8.7,6.6,8.7,5.8,5.8,8.0,86.53999999999999,2.485484,333.0,8.7,8.7,9.2,9.9,Hitter skill + Pitch-type matchup,True,19,0.7969444444444445,0.7969444444444445,8
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665487,823170,702885.0,9,Fernando Tatis Jr.,San Diego Padres,San Francisco Giants,Cesar Perdomo,1,Oracle Park,139.0,9.7,Elite,9.1,9.5,6.0,9.5,7.3,6.2,10.0,67.64,18.9518155,287.0,6.8,9.7,9.7,9.7,Lineup context + Pitch-type matchup,True,13,0.7916666666666666,0.7916666666666666,9
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,668901,823496,543037.0,10,Mark Vientos,New York Mets,New York Yankees,Gerrit Cole,4,Yankee Stadium,117.0,9.7,Elite,7.7,9.8,8.2,9.8,6.3,6.7,7.0,80.24000000000001,10.1283473,162.0,9.0,5.7,7.2,8.1,Pitch-type matchup + Recent power,True,10,0.7847222222222222,0.7847222222222222,10
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,596019,823496,543037.0,11,Francisco Lindor,New York Mets,New York Yankees,Gerrit Cole,1,Yankee Stadium,117.0,9.7,Elite,8.8,7.3,8.2,7.3,6.3,6.7,10.0,80.24000000000001,10.1283473,162.0,8.6,6.1,7.5,9.2,Lineup context + Hitter skill,True,6,0.7827777777777777,0.7827777777777777,11
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,682987,823496,804267.0,12,Spencer Jones,New York Yankees,New York Mets,Zac Thornton,5,Yankee Stadium,117.0,9.6,Elite,7.8,9.8,8.6,9.8,6.3,6.7,6.0,80.24000000000001,10.1283473,162.0,3.4,8.6,6.0,9.0,Pitch-type matchup + Pitcher vulnerability,True,14,0.7802777777777776,0.7802777777777776,12
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,665161,822927,693855.0,13,Jeremy Peña,Houston Astros,Tampa Bay Rays,Ian Seymour,2,Tropicana Field,107.0,9.6,Elite,8.1,7.2,9.9,7.2,5.8,5.8,9.0,86.53999999999999,2.485484,333.0,3.4,9.1,7.4,6.5,Pitcher vulnerability + Lineup context,True,21,0.7763888888888889,0.7763888888888889,13
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,691718,824630,694973.0,14,Pete Crow-Armstrong,Chicago Cubs,Pittsburgh Pirates,Paul Skenes,1,Wrigley Field,107.0,9.6,Elite,9.8,9.6,5.0,9.6,5.8,6.0,10.0,86.18,9.1962908,241.0,8.9,9.0,8.7,9.0,Lineup context + Hitter skill,True,18,0.7755555555555556,0.7755555555555556,14
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,701538,823170,702885.0,15,Jackson Merrill,San Diego Padres,San Francisco Giants,Cesar Perdomo,5,Oracle Park,139.0,9.5,Elite,9.6,7.9,6.0,7.9,7.3,6.2,6.0,67.64,18.9518155,287.0,9.3,9.9,9.4,9.5,Hitter skill + Recent power,True,16,0.7755555555555554,0.7755555555555554,15
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,672960,822768,680694.0,16,Kazuma Okamoto,Toronto Blue Jays,Baltimore Orioles,Kyle Bradish,6,Rogers Centre,69.0,9.5,Elite,9.0,7.8,7.6,7.8,4.1,6.6,5.0,77.54,6.027298699999999,135.0,9.2,9.8,6.2,7.6,Recent power + Hitter skill,True,36,0.7669444444444444,0.7669444444444444,16
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,686797,823657,682982.0,17,Brooks Lee,Minnesota Twins,Cleveland Guardians,Daniel Espino,7,Target Field,113.0,9.5,Elite,9.7,9.5,5.4,9.5,6.1,6.8,4.0,73.94,12.9245168,307.0,7.2,8.4,9.6,8.1,Hitter skill + Pitch-type matchup,True,17,0.758888888888889,0.758888888888889,17
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,800050,823657,687570.0,18,Chase DeLauter,Cleveland Guardians,Minnesota Twins,Connor Prielipp,2,Target Field,113.0,9.4,Excellent,10.0,5.9,7.0,5.9,6.1,6.8,9.0,73.94,12.9245168,307.0,7.2,5.9,9.7,9.4,Hitter skill + Lineup context,True,12,0.753888888888889,0.753888888888889,18
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,605141,823819,663969.0,19,Mookie Betts,Los Angeles Dodgers,Miami Marlins,Tyler Phillips,3,loanDepot park,135.0,9.4,Excellent,9.4,5.2,8.9,5.2,7.1,6.6,8.0,84.56,8.077823,93.0,9.0,6.4,5.0,6.6,Hitter skill + Recent power,True,9,0.7516666666666667,0.7516666666666667,19
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,683748,822927,663567.0,20,Victor Mesa Jr.,Tampa Bay Rays,Houston Astros,Peter Lambert,5,Tropicana Field,107.0,9.4,Excellent,8.2,9.4,6.6,9.4,5.8,5.8,6.0,86.53999999999999,2.485484,333.0,9.5,9.4,8.3,6.2,Recent power + Pitch-type matchup,True,32,0.7516666666666666,0.7516666666666666,20
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,694192,823737,663903.0,21,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Brady Singer,1,American Family Field,88.0,9.3,Excellent,9.2,7.3,6.3,7.3,5.0,6.7,10.0,82.4,9.8797989,288.0,8.7,8.7,8.7,8.5,Lineup context + Hitter skill,True,31,0.7499999999999999,0.7499999999999999,21
2026-09-12,2026-09-12T05:56:49.149939+00:00,2026-09-10,projected_or_reconstructed,forecast_or_neutral,571448,825035,677958.0,22,Nolan Arenado,Arizona Diamondbacks,Texas Rangers,Kumar Rocker,6,Chase Field,213.0,9.3,Excellent,7.1,8.1,9.2,8.1,10.0,4.8,5.0,103.64,5.4059277,240.0,9.0,3.7,8.0,7.3,Ballpark + Pitcher vulnerability,True,20,0.748611111111111,0.748611111111111,22
