batter_name,original_v1_rank,model_rank,rank_improvement
Ben Rice,2,1,1
Hunter Goodman,6,2,4
Zach Neto,7,3,4
Cody Bellinger,1,4,-3
Luis García Jr.,4,5,-1
Kyle Stowers,56,6,50
Kody Clemens,10,7,3
Pete Alonso,3,8,-5
Teoscar Hernández,22,9,13
Miguel Vargas,13,10,3
Matt Olson,8,11,-3
Elly De La Cruz,11,12,-1
Francisco Lindor,19,13,6
Emmanuel Rodriguez,9,14,-5
Cal Raleigh,17,15,2
Juan Soto,16,16,0
Pete Crow-Armstrong,31,17,14
Ketel Marte,20,18,2
Corbin Carroll,37,19,18
Mookie Betts,46,20,26
Coby Mayo,5,21,-16
Brooks Lee,32,22,10
Mike Trout,18,23,-5
Michael Busch,48,24,24
Heriberto Hernández,33,25,8
Austin Wells,24,26,-2
Ronald Acuña Jr.,26,27,-1
Josh Smith,74,28,46
Connor Norby,69,29,40
Eugenio Suárez,23,30,-7
Spencer Jones,15,31,-16
Kyle Karros,57,32,25
Brett Baty,60,33,27
Randy Arozarena,51,34,17
Sean Murphy,34,35,-1
Bo Bichette,44,36,8
Joe Mack,116,37,79
Pedro Ramírez,59,38,21
Juan Brito,29,39,-10
Kazuma Okamoto,14,40,-26
Sal Stewart,38,41,-3
Jose Siri,52,42,10
Lars Nootbaar,79,43,36
Alex Bregman,64,44,20
Kevin McGonigle,92,45,47
Bryce Eldridge,65,46,19
Colton Cowser,35,47,-12
Trevor Larnach,39,48,-9
Jackson Holliday,42,49,-7
Riley Greene,107,50,57
Mickey Moniak,28,53,-25
George Springer,21,56,-35
Munetaka Murakami,36,57,-21
Adael Amador,27,59,-32
Alejandro Kirk,30,60,-30
Andrew Benintendi,40,65,-25
Colson Montgomery,41,66,-25
Thomas Saggese,49,69,-20
Vladimir Guerrero Jr.,43,72,-29
Tristan Peters,50,73,-23
Moisés Ballesteros,45,81,-36
Max Muncy,25,84,-59
Josue De Paula,12,89,-77
Kyle Tucker,47,114,-67
