model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
1,Cal Raleigh,Seattle Mariners,Athletics,Kade Morris,4,T-Mobile Park,37,10.0,Elite,9.8,7.3,9.3,7.3,2.7,5.5,7.0,,,,9.1,8.9,6.3,9.0,Hitter skill + Pitcher vulnerability,False,6,0.8297222222222222,0.8297222222222222,1
2,Heriberto Hernández,Miami Marlins,Chicago Cubs,Shota Imanaga,1,loanDepot park,135,10.0,Elite,8.6,7.7,9.0,7.7,7.1,6.5,10.0,83.12,3.2311292000000003,112.0,7.0,9.2,4.4,8.7,Lineup context + Pitcher vulnerability,False,1,0.798888888888889,0.798888888888889,2
3,Carter Jensen,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,1,Kauffman Stadium,168,9.9,Elite,7.8,7.2,9.9,7.2,8.6,5.5,10.0,96.98,8.2642343,177.0,9.8,8.2,4.1,8.2,Lineup context + Pitcher vulnerability,False,2,0.7986111111111112,0.7986111111111112,3
4,Spencer Jones,New York Yankees,San Diego Padres,Walker Buehler,4,Petco Park,105,9.9,Elite,9.6,9.8,7.1,9.8,5.7,5.5,7.0,,,,9.7,7.9,3.8,8.4,Pitch-type matchup + Recent power,False,4,0.7944444444444445,0.7944444444444445,4
5,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,2,Kauffman Stadium,168,9.9,Elite,9.1,5.9,9.9,5.9,8.6,5.5,9.0,96.98,8.2642343,177.0,3.8,6.6,6.2,8.1,Pitcher vulnerability + Hitter skill,False,3,0.7755555555555556,0.7755555555555556,5
6,Vinnie Pasquantino,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,5,Kauffman Stadium,168,9.8,Elite,9.8,3.6,9.9,3.6,8.6,5.5,6.0,96.98,8.2642343,177.0,3.8,7.1,9.6,9.1,Pitcher vulnerability + Hitter skill,False,7,0.7691666666666668,0.7691666666666668,6
7,Ben Rice,New York Yankees,San Diego Padres,Walker Buehler,1,Petco Park,105,9.8,Elite,9.8,9.2,7.1,9.2,5.7,5.5,10.0,,,,3.8,6.3,5.9,6.9,Lineup context + Hitter skill,False,5,0.7583333333333334,0.7583333333333334,7
8,Ezequiel Duran,Texas Rangers,Tampa Bay Rays,Nick Martinez,5,Globe Life Field,94,9.8,Elite,9.8,4.7,8.8,4.7,5.2,5.5,6.0,96.62,7.456452,167.0,9.1,6.0,7.6,8.2,Hitter skill + Recent power,False,9,0.7547222222222224,0.7547222222222224,8
9,Jac Caglianone,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,3,Kauffman Stadium,168,9.7,Elite,4.9,7.9,9.9,7.9,8.6,5.5,8.0,96.98,8.2642343,177.0,3.8,9.5,9.9,9.6,Pitcher vulnerability + Ballpark,False,41,0.7400000000000001,0.7400000000000001,9
10,Colson Montgomery,Chicago White Sox,Minnesota Twins,Zebby Matthews,5,Rate Field,69,9.7,Elite,8.9,7.6,7.3,7.6,4.1,5.5,6.0,,,,7.0,6.7,9.3,8.1,Hitter skill + Pitch-type matchup,False,24,0.7383333333333333,0.7383333333333333,10
11,Spencer Torkelson,Detroit Tigers,Cleveland Guardians,Logan Allen,7,Progressive Field,60,9.7,Elite,9.3,6.4,9.6,6.4,3.7,6.6,4.0,73.75999999999999,7.3943149,195.0,8.5,4.4,1.9,5.5,Pitcher vulnerability + Hitter skill,False,8,0.7358333333333333,0.7358333333333333,11
12,Leo Bernal,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,5,Coors Field,207,9.7,Elite,6.7,9.2,6.5,9.2,10.0,5.5,6.0,,,,8.7,8.4,10.0,10.0,Ballpark + Pitch-type matchup,False,21,0.7336111111111111,0.7336111111111111,12
13,Jonathan Aranda,Tampa Bay Rays,Texas Rangers,Trevor Williams,2,Globe Life Field,94,9.6,Elite,8.7,6.5,7.6,6.5,5.2,5.5,9.0,96.62,7.456452,167.0,7.4,6.0,8.6,8.9,Lineup context + Hitter skill,False,22,0.7308333333333334,0.7308333333333334,13
14,Riley Greene,Detroit Tigers,Cleveland Guardians,Logan Allen,5,Progressive Field,60,9.6,Elite,5.5,8.8,9.6,8.8,3.7,6.6,6.0,73.75999999999999,7.3943149,195.0,3.8,10.0,9.5,4.9,Pitcher vulnerability + Pitch-type matchup,False,49,0.7263888888888888,0.7263888888888888,14
15,Rafael Devers,San Francisco Giants,New York Mets,Nolan McLean,2,Citi Field,101,9.6,Elite,9.7,9.6,3.1,9.6,5.5,6.5,9.0,78.98,3.9146373,297.0,9.7,9.6,7.5,9.9,Hitter skill + Recent power,False,12,0.7199999999999999,0.7199999999999999,15
16,Zack Gelof,Athletics,Seattle Mariners,Logan Gilbert,3,T-Mobile Park,37,9.5,Elite,9.9,9.2,5.7,9.2,2.7,5.5,8.0,,,,9.1,6.5,4.6,5.3,Hitter skill + Pitch-type matchup,False,13,0.7188888888888889,0.7188888888888889,16
17,Junior Caminero,Tampa Bay Rays,Texas Rangers,Trevor Williams,3,Globe Life Field,94,9.5,Elite,6.5,9.0,7.6,9.0,5.2,5.5,8.0,96.62,7.456452,167.0,7.0,6.4,8.0,9.9,Pitch-type matchup + Lineup context,False,50,0.7177777777777778,0.7177777777777778,17
18,Kevin McGonigle,Detroit Tigers,Cleveland Guardians,Logan Allen,2,Progressive Field,60,9.5,Elite,7.9,5.3,9.6,5.3,3.7,6.6,9.0,73.75999999999999,7.3943149,195.0,3.8,7.7,5.9,6.1,Pitcher vulnerability + Lineup context,False,17,0.7072222222222222,0.7072222222222222,18
19,Kazuma Okamoto,Toronto Blue Jays,Kansas City Royals,Daniel Lynch IV,5,Kauffman Stadium,168,9.4,Excellent,7.7,8.2,6.2,8.2,8.6,5.5,6.0,96.98,8.2642343,177.0,9.5,8.9,5.3,9.1,Recent power + Ballpark,False,18,0.705,0.705,19
20,Yordan Alvarez,Houston Astros,Arizona Diamondbacks,Merrill Kelly,2,Daikin Park,111,9.4,Excellent,6.1,8.8,8.2,8.8,6.0,5.5,9.0,,,,3.8,5.0,9.7,8.8,Lineup context + Pitch-type matchup,False,38,0.703888888888889,0.703888888888889,20
21,Eugenio Suárez,Cincinnati Reds,Milwaukee Brewers,Shane Drohan,5,Great American Ball Park,81,9.4,Excellent,9.5,8.9,4.2,8.9,4.6,5.4,6.0,94.82,4.349597,291.0,9.3,6.6,9.0,8.3,Hitter skill + Recent power,False,43,0.6980555555555557,0.6980555555555557,21
22,Max Clark,Detroit Tigers,Cleveland Guardians,Logan Allen,8,Progressive Field,60,9.3,Excellent,7.1,8.1,9.6,8.1,3.7,6.6,3.0,73.75999999999999,7.3943149,195.0,3.8,1.5,9.1,4.2,Pitcher vulnerability + Pitch-type matchup,False,30,0.6955555555555554,0.6955555555555554,22
23,Yandy Díaz,Tampa Bay Rays,Texas Rangers,Trevor Williams,1,Globe Life Field,94,9.3,Excellent,5.6,9.1,7.6,9.1,5.2,5.5,10.0,96.62,7.456452,167.0,6.8,7.5,7.9,8.2,Lineup context + Pitch-type matchup,False,62,0.6952777777777779,0.6952777777777779,23
24,Salvador Perez,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,4,Kauffman Stadium,168,9.3,Excellent,5.2,6.5,9.9,6.5,8.6,5.5,7.0,96.98,8.2642343,177.0,7.0,9.1,7.4,4.6,Pitcher vulnerability + Ballpark,False,40,0.6922222222222223,0.6922222222222223,24
25,Jacob Gonzalez,Pittsburgh Pirates,Los Angeles Angels,Ryan Johnson,8,PNC Park,74,9.2,Excellent,7.9,7.9,8.5,7.9,4.3,6.5,3.0,78.8,2.7340324000000003,289.0,3.8,5.8,6.4,4.2,Pitcher vulnerability + Hitter skill,False,36,0.6902777777777778,0.6902777777777778,25
26,Mark Vientos,New York Mets,San Francisco Giants,Matt Wilkinson,4,Citi Field,101,9.2,Excellent,9.5,10.0,3.4,10.0,5.5,6.5,7.0,78.98,3.9146373,297.0,9.4,6.2,6.1,8.0,Pitch-type matchup + Hitter skill,False,14,0.6869444444444444,0.6869444444444444,26
27,Roman Anthony,Boston Red Sox,Baltimore Orioles,Shane Baz,1,Oriole Park at Camden Yards,110,9.2,Excellent,8.8,9.9,2.3,9.9,6.0,6.5,10.0,83.12,3.4175405,279.0,8.8,9.4,9.9,9.7,Lineup context + Pitch-type matchup,False,34,0.6866666666666666,0.6866666666666666,27
28,William Contreras,Milwaukee Brewers,Cincinnati Reds,Rhett Lowder,5,Great American Ball Park,81,9.2,Excellent,8.2,5.1,7.9,5.1,4.6,5.4,6.0,94.82,4.349597,291.0,7.4,7.3,7.2,8.5,Hitter skill + Pitcher vulnerability,False,55,0.6855555555555556,0.6855555555555556,28
