model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Rafael Devers,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,2,Oracle Park,139.0,10.0,Elite,9.6,9.6,7.7,9.6,7.3,6.7,9.0,71.78,10.9361296,259.0,10.0,9.6,7.3,9.9,Recent power + Hitter skill,False,0.8638888888888888,0.8638888888888888
2,Pete Crow-Armstrong,Chicago Cubs,Milwaukee Brewers,Robert Gasser,1,American Family Field,88.0,10.0,Elite,10.0,9.5,7.2,9.5,5.0,6.6,10.0,76.1,8.2642343,120.0,8.9,9.2,7.0,9.1,Hitter skill + Lineup context,False,0.8430555555555557,0.8430555555555557
3,Riley Greene,Detroit Tigers,Minnesota Twins,Joe Ryan,4,Comerica Park,100.0,9.9,,9.0,8.6,9.0,8.6,5.5,6.6,7.0,76.1,5.9030245,89.0,9.2,10.0,8.9,5.4,Recent power + Hitter skill,False,0.8279166666666666,0.8279166666666666
4,Elly De La Cruz,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,2,UNIQLO Field at Dodger Stadium,124.0,9.9,,8.6,9.6,8.5,9.6,6.6,5.5,9.0,,,,8.9,9.0,4.5,9.6,Pitch-type matchup + Lineup context,False,0.8222222222222222,0.8222222222222222
5,Jackson Merrill,San Diego Padres,Washington Nationals,Jake Irvin,5,Petco Park,105.0,9.8,,8.9,9.2,9.4,9.2,5.7,5.5,6.0,94.46,7.5807262,326.0,3.6,9.2,9.0,8.4,Pitcher vulnerability + Pitch-type matchup,False,0.8213888888888888,0.8213888888888888
6,Griffin Conine,Miami Marlins,New York Mets,Jonah Tong,3,loanDepot park,135.0,9.8,,8.0,9.0,9.8,9.0,7.1,6.0,8.0,87.08000000000001,6.2758471,153.0,6.6,9.7,6.3,6.5,Pitcher vulnerability + Pitch-type matchup,False,0.81625,0.81625
7,Eugenio Suárez,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,6,UNIQLO Field at Dodger Stadium,124.0,9.7,,9.3,9.3,8.5,9.3,6.6,5.5,5.0,,,,6.6,5.0,7.6,6.1,Hitter skill + Pitch-type matchup,False,0.7904166666666667,0.7904166666666667
8,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,Grant Holmes,1,Citizens Bank Park,115.0,9.7,,9.3,9.0,6.4,9.0,6.2,6.5,10.0,77.9,4.5981454,7.0,9.5,8.7,5.2,7.9,Lineup context + Recent power,False,0.7831944444444445,0.7831944444444445
9,Manny Machado,San Diego Padres,Washington Nationals,Jake Irvin,3,Petco Park,105.0,9.6,,9.0,7.4,9.4,7.4,5.7,5.5,8.0,94.46,7.5807262,326.0,9.3,5.9,5.8,3.1,Pitcher vulnerability + Recent power,False,0.7804166666666666,0.7804166666666666
10,Josh Bell,Minnesota Twins,Detroit Tigers,Troy Melton,5,Comerica Park,100.0,9.6,,9.9,9.1,6.8,9.1,5.5,6.6,6.0,76.1,5.9030245,89.0,8.1,3.9,6.2,7.0,Hitter skill + Pitch-type matchup,False,0.765,0.765
11,Roman Anthony,Boston Red Sox,Los Angeles Angels,Grayson Rodriguez,1,Fenway Park,92.0,9.5,,8.3,9.9,5.5,9.9,5.1,6.6,10.0,77.36,6.2758471,333.0,8.7,8.0,10.0,9.5,Lineup context + Pitch-type matchup,False,0.7547222222222223,0.7547222222222223
12,Ronald Acuña,Atlanta Braves,Philadelphia Phillies,Jesús Luzardo,1,Citizens Bank Park,115.0,9.5,,8.0,10.0,6.0,10.0,6.2,6.5,10.0,77.9,4.5981454,7.0,9.9,8.3,6.3,7.7,Pitch-type matchup + Lineup context,False,0.7491666666666668,0.7491666666666668
13,Brooks Lee,Minnesota Twins,Detroit Tigers,Troy Melton,2,Comerica Park,100.0,9.5,,7.7,10.0,6.8,10.0,5.5,6.6,9.0,76.1,5.9030245,89.0,7.7,8.1,8.2,6.9,Pitch-type matchup + Lineup context,False,0.7470833333333332,0.7470833333333332
14,Kevin McGonigle,Detroit Tigers,Minnesota Twins,Joe Ryan,2,Comerica Park,100.0,9.4,,9.1,4.0,9.0,4.0,5.5,6.6,9.0,76.1,5.9030245,89.0,3.6,8.0,6.2,6.0,Hitter skill + Pitcher vulnerability,False,0.7252777777777777,0.7252777777777777
15,Tyrone Taylor,Chicago Cubs,Milwaukee Brewers,Robert Gasser,4,American Family Field,88.0,9.4,,8.2,9.7,7.2,9.7,5.0,6.6,7.0,76.1,8.2642343,120.0,8.5,6.9,5.2,2.8,Pitch-type matchup + Recent power,False,0.7247222222222222,0.7247222222222222
16,Fernando Tatis,San Diego Padres,Washington Nationals,Jake Irvin,1,Petco Park,105.0,9.3,,5.3,6.6,9.4,6.6,5.7,5.5,10.0,94.46,7.5807262,326.0,9.6,10.0,10.0,9.5,Lineup context + Recent power,False,0.7173611111111111,0.7173611111111111
17,Sal Stewart,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,3,UNIQLO Field at Dodger Stadium,124.0,9.3,,7.0,8.6,8.5,8.6,6.6,5.5,8.0,,,,3.6,7.6,4.7,8.2,Pitch-type matchup + Pitcher vulnerability,False,0.7137499999999999,0.7137499999999999
18,Alex Bregman,Chicago Cubs,Milwaukee Brewers,Robert Gasser,3,American Family Field,88.0,9.2,,7.8,8.5,7.2,8.5,5.0,6.6,8.0,76.1,8.2642343,120.0,6.9,9.0,8.5,2.3,Pitch-type matchup + Lineup context,False,0.7106944444444444,0.7106944444444444
19,Jackson Chourio,Milwaukee Brewers,Chicago Cubs,Matthew Boyd,1,American Family Field,88.0,9.2,,7.3,6.7,8.1,6.7,5.0,6.6,10.0,76.1,8.2642343,120.0,6.1,7.1,6.9,8.6,Lineup context + Pitcher vulnerability,False,0.7084722222222223,0.7084722222222223
20,Alejandro Kirk,Toronto Blue Jays,Athletics,Jacob Lopez,4,Sutter Health Park,100.0,9.1,,9.5,8.7,4.7,8.7,5.5,5.8,7.0,89.06,2.1126614,354.0,6.9,7.0,6.6,9.5,Hitter skill + Pitch-type matchup,False,0.7077777777777777,0.7077777777777777
21,Christian Encarnacion-Strand,Baltimore Orioles,Cleveland Guardians,Joey Cantillo,6,Oriole Park at Camden Yards,110.0,9.1,,9.8,9.5,3.4,9.5,6.0,6.5,5.0,79.52,4.0389115,34.0,8.1,9.9,7.8,7.1,Hitter skill + Pitch-type matchup,False,0.7026388888888889,0.7026388888888889
22,Kody Clemens,Minnesota Twins,Detroit Tigers,Troy Melton,3,Comerica Park,100.0,9.0,Excellent,7.6,7.3,6.8,7.3,5.5,6.6,8.0,76.1,5.9030245,89.0,3.6,9.5,9.5,8.7,Lineup context + Hitter skill,False,0.694861111111111,0.694861111111111
23,Ryan Jeffers,Minnesota Twins,Detroit Tigers,Troy Melton,4,Comerica Park,100.0,9.0,Excellent,9.7,5.8,6.8,5.8,5.5,6.6,7.0,76.1,5.9030245,89.0,7.2,6.6,4.2,2.5,Hitter skill + Recent power,False,0.6893055555555555,0.6893055555555555
24,Heriberto Hernandez,Miami Marlins,New York Mets,Jonah Tong,2,loanDepot park,135.0,8.9,,3.9,9.0,9.8,9.0,7.1,6.0,9.0,87.08000000000001,6.2758471,153.0,8.9,8.6,4.5,7.6,Pitcher vulnerability + Pitch-type matchup,False,0.6872222222222222,0.6872222222222222
25,Nolan Gorman,St. Louis Cardinals,San Francisco Giants,Logan Webb,6,Oracle Park,139.0,8.9,,9.9,9.8,3.0,9.8,7.3,6.7,5.0,71.78,10.9361296,259.0,7.2,8.1,3.1,9.0,Hitter skill + Pitch-type matchup,False,0.6852777777777778,0.6852777777777778
26,Ty France,San Diego Padres,Washington Nationals,Jake Irvin,4,Petco Park,105.0,8.9,,6.4,6.6,9.4,6.6,5.7,5.5,7.0,94.46,7.5807262,326.0,8.1,5.6,6.1,6.5,Pitcher vulnerability + Recent power,False,0.6840277777777778,0.6840277777777778
27,Bryce Eldridge,San Francisco Giants,St. Louis Cardinals,Michael McGreevy,3,Oracle Park,139.0,8.8,,7.8,5.0,7.7,5.0,7.3,6.7,8.0,71.78,10.9361296,259.0,3.6,5.5,7.8,9.2,Lineup context + Hitter skill,False,0.6770833333333333,0.6770833333333333
28,Otto Lopez,Miami Marlins,New York Mets,Jonah Tong,4,loanDepot park,135.0,8.8,,6.9,4.3,9.8,4.3,7.1,6.0,7.0,87.08000000000001,6.2758471,153.0,3.6,7.5,7.6,5.6,Pitcher vulnerability + Ballpark,False,0.6756944444444444,0.6756944444444444
29,Coby Mayo,Baltimore Orioles,Cleveland Guardians,Joey Cantillo,4,Oriole Park at Camden Yards,110.0,8.7,,9.8,9.8,3.4,9.8,6.0,6.5,7.0,79.52,4.0389115,34.0,3.6,9.1,5.5,3.8,Hitter skill + Pitch-type matchup,False,0.6733333333333332,0.6733333333333332
30,Luis Campusano,San Diego Padres,Washington Nationals,Jake Irvin,6,Petco Park,105.0,8.7,,7.9,3.7,9.4,3.7,5.7,5.5,5.0,94.46,7.5807262,326.0,9.3,9.1,3.2,4.0,Pitcher vulnerability + Recent power,False,0.6716666666666667,0.6716666666666667
31,William Contreras,Milwaukee Brewers,Chicago Cubs,Matthew Boyd,3,American Family Field,88.0,8.6,,8.1,3.2,8.1,3.2,5.0,6.6,8.0,76.1,8.2642343,120.0,6.6,7.2,7.0,8.0,Hitter skill + Pitcher vulnerability,False,0.6661111111111111,0.6661111111111111
32,Alec Burleson,St. Louis Cardinals,San Francisco Giants,Logan Webb,3,Oracle Park,139.0,8.6,,9.6,6.9,3.0,6.9,7.3,6.7,8.0,71.78,10.9361296,259.0,3.6,7.8,9.3,8.8,Hitter skill + Lineup context,False,0.6523611111111111,0.6523611111111111
33,Kazuma Okamoto,Toronto Blue Jays,Athletics,Jacob Lopez,5,Sutter Health Park,100.0,8.5,,8.7,7.7,4.7,7.7,5.5,5.8,6.0,89.06,2.1126614,354.0,3.6,8.8,6.9,9.0,Hitter skill + Pitch-type matchup,False,0.6518055555555555,0.6518055555555555
34,Joey Ortiz,Milwaukee Brewers,Chicago Cubs,Matthew Boyd,9,American Family Field,88.0,8.5,,6.5,8.0,8.1,8.0,5.0,6.6,2.0,76.1,8.2642343,120.0,3.6,3.8,9.7,8.6,Pitcher vulnerability + Pitch-type matchup,False,0.6465277777777778,0.6465277777777778
35,Pedro Ramírez,Chicago Cubs,Milwaukee Brewers,Robert Gasser,9,American Family Field,88.0,8.4,,10.0,4.0,7.2,4.0,5.0,6.6,2.0,76.1,8.2642343,120.0,3.6,6.2,5.4,4.0,Hitter skill + Pitcher vulnerability,False,0.6444444444444445,0.6444444444444445
36,James Wood,Washington Nationals,San Diego Padres,Nick Pivetta,1,Petco Park,105.0,8.4,,8.4,5.5,5.5,5.5,5.7,5.5,10.0,94.46,7.5807262,326.0,3.6,7.1,6.5,10.0,Lineup context + Hitter skill,False,0.6444444444444445,0.6444444444444445
37,Matt McLain,Cincinnati Reds,Los Angeles Dodgers,Emmet Sheehan,7,UNIQLO Field at Dodger Stadium,124.0,8.4,,7.2,5.4,8.5,5.4,6.6,5.5,4.0,,,,9.2,7.2,4.1,3.2,Recent power + Pitcher vulnerability,False,0.6431944444444445,0.6431944444444445
